2026-02-17 02:06:18 startup archives install
2026-02-17 02:06:18 install base-passwd:arm64 <none> 3.6.3build1
2026-02-17 02:06:18 status half-installed base-passwd:arm64 3.6.3build1
2026-02-17 02:06:18 status unpacked base-passwd:arm64 3.6.3build1
2026-02-17 02:06:18 configure base-passwd:arm64 3.6.3build1 3.6.3build1
2026-02-17 02:06:18 status half-configured base-passwd:arm64 3.6.3build1
2026-02-17 02:06:18 status installed base-passwd:arm64 3.6.3build1
2026-02-17 02:06:18 startup archives install
2026-02-17 02:06:18 install base-files:arm64 <none> 13ubuntu10
2026-02-17 02:06:18 status half-installed base-files:arm64 13ubuntu10
2026-02-17 02:06:18 status unpacked base-files:arm64 13ubuntu10
2026-02-17 02:06:18 configure base-files:arm64 13ubuntu10 13ubuntu10
2026-02-17 02:06:18 status half-configured base-files:arm64 13ubuntu10
2026-02-17 02:06:18 status installed base-files:arm64 13ubuntu10
2026-02-17 02:06:18 startup archives install
2026-02-17 02:06:18 upgrade dpkg 1.22.6ubuntu6 1.22.6ubuntu6
2026-02-17 02:06:18 status half-configured dpkg 1.22.6ubuntu6
2026-02-17 02:06:18 status unpacked dpkg 1.22.6ubuntu6
2026-02-17 02:06:18 status half-installed dpkg 1.22.6ubuntu6
2026-02-17 02:06:18 status unpacked dpkg:arm64 1.22.6ubuntu6
2026-02-17 02:06:18 configure dpkg:arm64 1.22.6ubuntu6 1.22.6ubuntu6
2026-02-17 02:06:18 status half-configured dpkg:arm64 1.22.6ubuntu6
2026-02-17 02:06:18 status installed dpkg:arm64 1.22.6ubuntu6
2026-02-17 02:06:18 startup archives install
2026-02-17 02:06:18 install libc6:arm64 <none> 2.39-0ubuntu8
2026-02-17 02:06:18 status half-installed libc6:arm64 2.39-0ubuntu8
2026-02-17 02:06:19 status unpacked libc6:arm64 2.39-0ubuntu8
2026-02-17 02:06:19 configure libc6:arm64 2.39-0ubuntu8 2.39-0ubuntu8
2026-02-17 02:06:19 status half-configured libc6:arm64 2.39-0ubuntu8
2026-02-17 02:06:19 status installed libc6:arm64 2.39-0ubuntu8
2026-02-17 02:06:19 startup archives install
2026-02-17 02:06:19 install perl-base:arm64 <none> 5.38.2-3.2build2
2026-02-17 02:06:19 status half-installed perl-base:arm64 5.38.2-3.2build2
2026-02-17 02:06:19 status unpacked perl-base:arm64 5.38.2-3.2build2
2026-02-17 02:06:19 configure perl-base:arm64 5.38.2-3.2build2 5.38.2-3.2build2
2026-02-17 02:06:19 status half-configured perl-base:arm64 5.38.2-3.2build2
2026-02-17 02:06:19 status installed perl-base:arm64 5.38.2-3.2build2
2026-02-17 02:06:19 startup archives install
2026-02-17 02:06:19 install mawk:arm64 <none> 1.3.4.20240123-1build1
2026-02-17 02:06:19 status half-installed mawk:arm64 1.3.4.20240123-1build1
2026-02-17 02:06:19 status unpacked mawk:arm64 1.3.4.20240123-1build1
2026-02-17 02:06:19 configure mawk:arm64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2026-02-17 02:06:19 status half-configured mawk:arm64 1.3.4.20240123-1build1
2026-02-17 02:06:19 status installed mawk:arm64 1.3.4.20240123-1build1
2026-02-17 02:06:19 startup archives unpack
2026-02-17 02:06:19 upgrade base-files:arm64 13ubuntu10 13ubuntu10
2026-02-17 02:06:19 status half-configured base-files:arm64 13ubuntu10
2026-02-17 02:06:19 status unpacked base-files:arm64 13ubuntu10
2026-02-17 02:06:19 status half-installed base-files:arm64 13ubuntu10
2026-02-17 02:06:19 status unpacked base-files:arm64 13ubuntu10
2026-02-17 02:06:19 upgrade base-passwd:arm64 3.6.3build1 3.6.3build1
2026-02-17 02:06:19 status half-configured base-passwd:arm64 3.6.3build1
2026-02-17 02:06:19 status unpacked base-passwd:arm64 3.6.3build1
2026-02-17 02:06:19 status half-installed base-passwd:arm64 3.6.3build1
2026-02-17 02:06:19 status unpacked base-passwd:arm64 3.6.3build1
2026-02-17 02:06:19 install bash:arm64 <none> 5.2.21-2ubuntu4
2026-02-17 02:06:19 status half-installed bash:arm64 5.2.21-2ubuntu4
2026-02-17 02:06:19 status unpacked bash:arm64 5.2.21-2ubuntu4
2026-02-17 02:06:19 install bsdutils:arm64 <none> 1:2.39.3-9ubuntu6
2026-02-17 02:06:19 status half-installed bsdutils:arm64 1:2.39.3-9ubuntu6
2026-02-17 02:06:19 status unpacked bsdutils:arm64 1:2.39.3-9ubuntu6
2026-02-17 02:06:19 install coreutils:arm64 <none> 9.4-3ubuntu6
2026-02-17 02:06:19 status half-installed coreutils:arm64 9.4-3ubuntu6
2026-02-17 02:06:19 status unpacked coreutils:arm64 9.4-3ubuntu6
2026-02-17 02:06:20 install dash:arm64 <none> 0.5.12-6ubuntu5
2026-02-17 02:06:20 status half-installed dash:arm64 0.5.12-6ubuntu5
2026-02-17 02:06:20 status unpacked dash:arm64 0.5.12-6ubuntu5
2026-02-17 02:06:20 install debconf:all <none> 1.5.86ubuntu1
2026-02-17 02:06:20 status half-installed debconf:all 1.5.86ubuntu1
2026-02-17 02:06:20 status unpacked debconf:all 1.5.86ubuntu1
2026-02-17 02:06:20 install debianutils:arm64 <none> 5.17build1
2026-02-17 02:06:20 status half-installed debianutils:arm64 5.17build1
2026-02-17 02:06:20 status unpacked debianutils:arm64 5.17build1
2026-02-17 02:06:20 install diffutils:arm64 <none> 1:3.10-1build1
2026-02-17 02:06:20 status half-installed diffutils:arm64 1:3.10-1build1
2026-02-17 02:06:20 status unpacked diffutils:arm64 1:3.10-1build1
2026-02-17 02:06:20 upgrade dpkg:arm64 1.22.6ubuntu6 1.22.6ubuntu6
2026-02-17 02:06:20 status half-configured dpkg:arm64 1.22.6ubuntu6
2026-02-17 02:06:20 status unpacked dpkg:arm64 1.22.6ubuntu6
2026-02-17 02:06:20 status half-installed dpkg:arm64 1.22.6ubuntu6
2026-02-17 02:06:20 status unpacked dpkg:arm64 1.22.6ubuntu6
2026-02-17 02:06:20 install e2fsprogs:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:20 status half-installed e2fsprogs:arm64 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:20 status unpacked e2fsprogs:arm64 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:20 install findutils:arm64 <none> 4.9.0-5build1
2026-02-17 02:06:20 status half-installed findutils:arm64 4.9.0-5build1
2026-02-17 02:06:20 status unpacked findutils:arm64 4.9.0-5build1
2026-02-17 02:06:20 install gcc-14-base:arm64 <none> 14-20240412-0ubuntu1
2026-02-17 02:06:20 status half-installed gcc-14-base:arm64 14-20240412-0ubuntu1
2026-02-17 02:06:20 status unpacked gcc-14-base:arm64 14-20240412-0ubuntu1
2026-02-17 02:06:20 install grep:arm64 <none> 3.11-4build1
2026-02-17 02:06:20 status half-installed grep:arm64 3.11-4build1
2026-02-17 02:06:20 status unpacked grep:arm64 3.11-4build1
2026-02-17 02:06:20 install gzip:arm64 <none> 1.12-1ubuntu3
2026-02-17 02:06:20 status half-installed gzip:arm64 1.12-1ubuntu3
2026-02-17 02:06:20 status unpacked gzip:arm64 1.12-1ubuntu3
2026-02-17 02:06:20 install hostname:arm64 <none> 3.23+nmu2ubuntu2
2026-02-17 02:06:20 status half-installed hostname:arm64 3.23+nmu2ubuntu2
2026-02-17 02:06:20 status unpacked hostname:arm64 3.23+nmu2ubuntu2
2026-02-17 02:06:20 install init-system-helpers:all <none> 1.66ubuntu1
2026-02-17 02:06:20 status half-installed init-system-helpers:all 1.66ubuntu1
2026-02-17 02:06:20 status unpacked init-system-helpers:all 1.66ubuntu1
2026-02-17 02:06:20 install libacl1:arm64 <none> 2.3.2-1build1
2026-02-17 02:06:20 status half-installed libacl1:arm64 2.3.2-1build1
2026-02-17 02:06:20 status unpacked libacl1:arm64 2.3.2-1build1
2026-02-17 02:06:20 install libattr1:arm64 <none> 1:2.5.2-1build1
2026-02-17 02:06:20 status half-installed libattr1:arm64 1:2.5.2-1build1
2026-02-17 02:06:20 status unpacked libattr1:arm64 1:2.5.2-1build1
2026-02-17 02:06:20 install libaudit-common:all <none> 1:3.1.2-2.1build1
2026-02-17 02:06:20 status half-installed libaudit-common:all 1:3.1.2-2.1build1
2026-02-17 02:06:20 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2026-02-17 02:06:20 install libaudit1:arm64 <none> 1:3.1.2-2.1build1
2026-02-17 02:06:20 status half-installed libaudit1:arm64 1:3.1.2-2.1build1
2026-02-17 02:06:20 status unpacked libaudit1:arm64 1:3.1.2-2.1build1
2026-02-17 02:06:20 install libblkid1:arm64 <none> 2.39.3-9ubuntu6
2026-02-17 02:06:20 status half-installed libblkid1:arm64 2.39.3-9ubuntu6
2026-02-17 02:06:20 status unpacked libblkid1:arm64 2.39.3-9ubuntu6
2026-02-17 02:06:20 install libbz2-1.0:arm64 <none> 1.0.8-5.1
2026-02-17 02:06:20 status half-installed libbz2-1.0:arm64 1.0.8-5.1
2026-02-17 02:06:20 status unpacked libbz2-1.0:arm64 1.0.8-5.1
2026-02-17 02:06:20 install libc-bin:arm64 <none> 2.39-0ubuntu8
2026-02-17 02:06:20 status half-installed libc-bin:arm64 2.39-0ubuntu8
2026-02-17 02:06:20 status unpacked libc-bin:arm64 2.39-0ubuntu8
2026-02-17 02:06:20 upgrade libc6:arm64 2.39-0ubuntu8 2.39-0ubuntu8
2026-02-17 02:06:20 status half-configured libc6:arm64 2.39-0ubuntu8
2026-02-17 02:06:20 status unpacked libc6:arm64 2.39-0ubuntu8
2026-02-17 02:06:20 status half-installed libc6:arm64 2.39-0ubuntu8
2026-02-17 02:06:21 status unpacked libc6:arm64 2.39-0ubuntu8
2026-02-17 02:06:21 install libcap-ng0:arm64 <none> 0.8.4-2build2
2026-02-17 02:06:21 status half-installed libcap-ng0:arm64 0.8.4-2build2
2026-02-17 02:06:21 status unpacked libcap-ng0:arm64 0.8.4-2build2
2026-02-17 02:06:21 install libcap2:arm64 <none> 1:2.66-5ubuntu2
2026-02-17 02:06:21 status half-installed libcap2:arm64 1:2.66-5ubuntu2
2026-02-17 02:06:21 status unpacked libcap2:arm64 1:2.66-5ubuntu2
2026-02-17 02:06:21 install libcom-err2:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:21 status half-installed libcom-err2:arm64 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:21 status unpacked libcom-err2:arm64 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:21 install libcrypt1:arm64 <none> 1:4.4.36-4build1
2026-02-17 02:06:21 status half-installed libcrypt1:arm64 1:4.4.36-4build1
2026-02-17 02:06:21 status unpacked libcrypt1:arm64 1:4.4.36-4build1
2026-02-17 02:06:21 install libdebconfclient0:arm64 <none> 0.271ubuntu3
2026-02-17 02:06:21 status half-installed libdebconfclient0:arm64 0.271ubuntu3
2026-02-17 02:06:21 status unpacked libdebconfclient0:arm64 0.271ubuntu3
2026-02-17 02:06:21 install libext2fs2t64:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:21 status half-installed libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:21 status unpacked libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2026-02-17 02:06:21 install libgcc-s1:arm64 <none> 14-20240412-0ubuntu1
2026-02-17 02:06:21 status half-installed libgcc-s1:arm64 14-20240412-0ubuntu1
2026-02-17 02:06:21 status unpacked libgcc-s1:arm64 14-20240412-0ubuntu1
2026-02-17 02:06:21 install libgcrypt20:arm64 <none> 1.10.3-2build1
2026-02-17 02:06:21 status half-installed libgcrypt20:arm64 1.10.3-2build1
2026-02-17 02:06:21 status unpacked libgcrypt20:arm64 1.10.3-2build1
2026-02-17 02:06:21 install libgmp10:arm64 <none> 2:6.3.0+dfsg-2ubuntu6
2026-02-17 02:06:21 status half-installed libgmp10:arm64 2:6.3.0+dfsg-2ubuntu6
2026-02-17 02:06:21 status unpacked libgmp10:arm64 2:6.3.0+dfsg-2ubuntu6
2026-02-17 02:06:21 install libgpg-error0:arm64 <none> 1.47-3build2
2026-02-17 02:06:21 status half-installed libgpg-error0:arm64 1.47-3build2
2026-02-17 02:06:21 status unpacked libgpg-error0:arm64 1.47-3build2
2026-02-17 02:06:21 install liblz4-1:arm64 <none> 1.9.4-1build1
2026-02-17 02:06:21 status half-installed liblz4-1:arm64 1.9.4-1build1
2026-02-17 02:06:21 status unpacked liblz4-1:arm64 1.9.4-1build1
2026-02-17 02:06:21 install liblzma5:arm64 <none> 5.6.1+really5.4.5-1
2026-02-17 02:06:21 status half-installed liblzma5:arm64 5.6.1+really5.4.5-1
2026-02-17 02:06:21 status unpacked liblzma5:arm64 5.6.1+really5.4.5-1
2026-02-17 02:06:21 install libmd0:arm64 <none> 1.1.0-2build1
2026-02-17 02:06:21 status half-installed libmd0:arm64 1.1.0-2build1
2026-02-17 02:06:21 status unpacked libmd0:arm64 1.1.0-2build1
2026-02-17 02:06:21 install libmount1:arm64 <none> 2.39.3-9ubuntu6
2026-02-17 02:06:21 status half-installed libmount1:arm64 2.39.3-9ubuntu6
2026-02-17 02:06:21 status unpacked libmount1:arm64 2.39.3-9ubuntu6
2026-02-17 02:06:21 install libncursesw6:arm64 <none> 6.4+20240113-1ubuntu2
2026-02-17 02:06:21 status half-installed libncursesw6:arm64 6.4+20240113-1ubuntu2
2026-02-17 02:06:21 status unpacked libncursesw6:arm64 6.4+20240113-1ubuntu2
2026-02-17 02:06:21 install libpam-modules:arm64 <none> 1.5.3-5ubuntu5
2026-02-17 02:06:21 status half-installed libpam-modules:arm64 1.5.3-5ubuntu5
2026-02-17 02:06:21 status unpacked libpam-modules:arm64 1.5.3-5ubuntu5
2026-02-17 02:06:22 install libpam-modules-bin:arm64 <none> 1.5.3-5ubuntu5
2026-02-17 02:06:22 status half-installed libpam-modules-bin:arm64 1.5.3-5ubuntu5
2026-02-17 02:06:22 status unpacked libpam-modules-bin:arm64 1.5.3-5ubuntu5
2026-02-17 02:06:22 install libpam-runtime:all <none> 1.5.3-5ubuntu5
2026-02-17 02:06:22 status half-installed libpam-runtime:all 1.5.3-5ubuntu5
2026-02-17 02:06:22 status unpacked libpam-runtime:all 1.5.3-5ubuntu5
2026-02-17 02:06:22 install libpam0g:arm64 <none> 1.5.3-5ubuntu5
2026-02-17 02:06:22 status half-installed libpam0g:arm64 1.5.3-5ubuntu5
2026-02-17 02:06:22 status unpacked libpam0g:arm64 1.5.3-5ubuntu5
2026-02-17 02:06:22 install libpcre2-8-0:arm64 <none> 10.42-4ubuntu2
2026-02-17 02:06:22 status half-installed libpcre2-8-0:arm64 10.42-4ubuntu2
2026-02-17 02:06:22 status unpacked libpcre2-8-0:arm64 10.42-4ubuntu2
2026-02-17 02:06:22 install libproc2-0:arm64 <none> 2:4.0.4-4ubuntu3
2026-02-17 02:06:22 status half-installed libproc2-0:arm64 2:4.0.4-4ubuntu3
2026-02-17 02:06:22 status unpacked libproc2-0:arm64 2:4.0.4-4ubuntu3
2026-02-17 02:06:22 install libselinux1:arm64 <none> 3.5-2ubuntu2
2026-02-17 02:06:22 status half-installed libselinux1:arm64 3.5-2ubuntu2
2026-02-17 02:06:22 status unpacked libselinux1:arm64 3.5-2ubuntu2
2026-02-17 02:06:22 install libsemanage-common:all <none> 3.5-1build5
2026-02-17 02:06:22 status half-installed libsemanage-common:all 3.5-1build5
2026-02-17 02:06:22 status unpacked libsemanage-common:all 3.5-1build5
2026-02-17 02:06:22 install libsemanage2:arm64 <none> 3.5-1build5
2026-02-17 02:06:22 status half-installed libsemanage2:arm64 3.5-1build5
2026-02-17 02:06:22 status unpacked libsemanage2:arm64 3.5-1build5
2026-02-17 02:06:22 install libsepol2:arm64 <none> 3.5-2build1
2026-02-17 02:06:22 status half-installed libsepol2:arm64 3.5-2build1
2026-02-17 02:06:22 status unpacked libsepol2:arm64 3.5-2build1
2026-02-17 02:06:22 install libsmartcols1:arm64 <none> 2.39.3-9ubuntu6
2026-02-17 02:06:22 status half-installed libsmartcols1:arm64 2.39.3-9ubuntu6
2026-02-17 02:06:22 status unpacked libsmartcols1:arm64 2.39.3-9ubuntu6
2026-02-17 02:06:22 install libss2:arm64 <none> 1.47.0-2.4~exp1ubuntu4
